Clean water 60degC 3000Sm3
,Date,LiquidProduced (Sm3/day),WaterProduced (Sm3/day),OilProduced (Sm3/day),GasProduced (1000Sm3/d),GOR (Sm3/Sm3),WaterCut (fraction),WaterGasRatio (Sm3/Sm3),CGR (Sm3/Sm3),CumLiquidProduced (Sm3),CumWaterProduced (Sm3),CumOilProduced (Sm3),CumGasProduced (MSm3),LiquidInjected (Sm3/day),WaterInjected (Sm3/day),OilInjected (Sm3/day),GasInjected (1000Sm3/d),CumLiquidInjected (Sm3),CumWaterInjected (Sm3),CumOilInjected (Sm3),CumGasInjected (MSm3),CumHeatInjected (kJ),FracLiquidProduced (Sm3/day),FracWaterProduced (Sm3/day),FracOilProduced (Sm3/day),FracGasProduced (1000Sm3/d),FracLiquidInjected (Sm3/day),FracWaterInjected (Sm3/day),FracOilInjected (Sm3/day),FracGasInjected (1000Sm3/d),DownholeRate (rm3/day),VoidageRate (rm3/day),CumVoidage (rm3),GasLiftRate (1000Sm3/d),DiluentRate (Sm3/day),JetRate (Sm3/day),SurfactantRate (Kg/day),NPV (MMUS$),
I1,27.02.1998 16:48:00,341.069,343.239,270.313,41.1358,0,41.1347,199.678,60,2999.86,2999.86,0,0,1512.36,1512.36,0,0,0,0,0,0,51641.3,57151.2,57151.2,0,400.64,1e+06,873.577,0,0,0,0,2.36599e+06,2.36599e+06,0,0,7.97341e+11,2999.98,3000,2.3661e+06,-13.4501,
I1,09.03.1998 16:48:00,340.709,342.887,269.598,40.9321,0,40.931,190.643,60,2999.86,2999.86,0,0,1460.19,1460.19,0,0,0,0,0,0,52374.1,58168.4,58168.5,0,408.629,1e+06,876.422,0,0,0,0,2.39599e+06,2.39599e+06,0,0,8.07433e+11,2999.98,3000,2.3961e+06,-13.6035,
I1,19.03.1998 16:48:00,340.27,342.455,269.077,40.8824,0,40.8812,190.792,60,2999.86,2999.86,0,0,1458.88,1458.88,0,0,0,0,0,0,53107.9,58973,58973.1,0,407.195,1e+06,877.936,0,0,0,0,2.42598e+06,2.42598e+06,0,0,8.17536e+11,2999.98,3000,2.4261e+06,-13.7565,
I1,29.03.1998 16:48:00,339.699,341.892,268.607,40.9345,0,40.9334,190.539,60,2999.86,2999.86,0,0,1466.63,1466.63,0,0,0,0,0,0,53840.8,59630.7,59630.8,0,383.064,1e+06,869.839,0,0,0,0,2.45598e+06,2.45598e+06,0,0,8.2763e+11,2999.98,3000,2.4561e+06,-13.9091,
I1,08.04.1998 16:48:00,338.688,340.888,267.741,41.0115,0,41.0104,191.74,60,2999.86,2999.86,0,0,1472.66,1472.66,0,0,0,0,0,0,54572.2,60250.3,60250.3,0,383.299,1e+06,871.379,0,0,0,0,2.48598e+06,2.48598e+06,0,0,8.37707e+11,2999.98,3000,2.4861e+06,-14.0613,
I1,18.04.1998 16:48:00,337.519,339.726,266.934,41.2111,0,41.21,193.935,60,2999.86,2999.86,0,0,1502.52,1502.52,0,0,0,0,0,0,55300.2,60686.4,60686.5,0,389.429,1e+06,874.676,0,0,0,0,2.51598e+06,2.51598e+06,0,0,8.47777e+11,2999.98,3000,2.5161e+06,-14.2131,
I1,28.04.1998 16:48:00,336.459,338.674,265.61,41.0583,0,41.0572,189.039,60,2999.86,2999.86,0,0,1464.98,1464.98,0,0,0,0,0,0,56030.8,61642.9,61642.9,0,361.259,1e+06,868.837,0,0,0,0,2.54598e+06,2.54598e+06,0,0,8.57828e+11,2999.98,3000,2.5461e+06,-14.3645,
I1,08.05.1998 16:48:00,335.81,338.033,264.982,41.0654,0,41.0643,190.945,60,2999.86,2999.86,0,0,1476.41,1476.41,0,0,0,0,0,0,56761.3,62362.7,62362.8,0,372.413,1e+06,867.298,0,0,0,0,2.57598e+06,2.57598e+06,0,0,8.67896e+11,2999.98,3000,2.5761e+06,-14.5155,
I1,18.05.1998 16:48:00,337.075,339.304,265.538,40.6674,0,40.6663,189.243,60,2999.86,2999.86,0,0,1457.78,1457.78,0,0,0,0,0,0,57499,63710.8,63710.9,0,369.924,1e+06,865.304,0,0,0,0,2.60598e+06,2.60598e+06,0,0,8.78066e+11,2999.98,3000,2.6061e+06,-14.6661,
I1,28.05.1998 16:48:00,337.297,339.532,265.558,40.5527,0,40.5516,185.571,60,2999.86,2999.86,0,0,1431.34,1431.34,0,0,0,0,0,0,58238.7,64630.6,64630.7,0,341.322,1e+06,857.359,0,0,0,0,2.63597e+06,2.63597e+06,0,0,8.88218e+11,2999.98,3000,2.6361e+06,-14.8163,
I1,07.06.1998 16:48:00,337.374,339.615,265.69,40.5798,0,40.5787,186.938,60,2999.86,2999.86,0,0,1440.48,1440.48,0,0,0,0,0,0,58978,65326.8,65326.9,0,337.886,1e+06,858.471,0,0,0,0,2.66597e+06,2.66597e+06,0,0,8.98382e+11,2999.98,3000,2.6661e+06,-14.9661,
I1,17.06.1998 16:48:00,337.216,339.462,265.571,40.5984,0,40.5973,187.151,60,2999.86,2999.86,0,0,1442.21,1442.21,0,0,0,0,0,0,59716.9,66035.8,66035.9,0,343.361,1e+06,859.217,0,0,0,0,2.69597e+06,2.69597e+06,0,0,9.08546e+11,2999.98,3000,2.6961e+06,-15.1156,
I1,27.06.1998 16:48:00,337.029,339.279,265.418,40.6153,0,40.6142,187.162,60,2999.86,2999.86,0,0,1442.32,1442.32,0,0,0,0,0,0,60455.5,66746.9,66747,0,335.264,1e+06,851.412,0,0,0,0,2.72597e+06,2.72597e+06,0,0,9.18709e+11,2999.98,3000,2.7261e+06,-15.2646,
I1,07.07.1998 16:48:00,336.832,339.087,265.208,40.605,0,40.604,185.046,60,2999.86,2999.86,0,0,1435,1435,0,0,0,0,0,0,61194.3,67502.5,67502.6,0,333.695,1e+06,853.724,0,0,0,0,2.75597e+06,2.75597e+06,0,0,9.28866e+11,2999.98,3000,2.7561e+06,-15.4133,
I1,17.07.1998 16:48:00,336.36,338.618,264.902,40.6947,0,40.6936,183.998,60,2999.86,2999.86,0,0,1438.31,1438.31,0,0,0,0,0,0,61931.4,68090.9,68091,0,333.079,1e+06,856.638,0,0,0,0,2.78597e+06,2.78597e+06,0,0,9.39006e+11,2999.98,3000,2.7861e+06,-15.5616,
I1,27.07.1998 16:48:00,335.577,337.839,264.509,40.9093,0,40.9082,187.479,60,2999.86,2999.86,0,0,1469.67,1469.67,0,0,0,0,0,0,62664.7,68467.1,68467.2,0,317.534,1e+06,859.801,0,0,0,0,2.81597e+06,2.81597e+06,0,0,9.4914e+11,2999.98,3000,2.8161e+06,-15.7094,
I1,06.08.1998 16:48:00,335.451,337.716,264.081,40.74,0,40.7389,183.179,60,2999.86,2999.86,0,0,1436.07,1436.07,0,0,0,0,0,0,63401.1,69488,69488.1,0,315.539,1e+06,850.561,0,0,0,0,2.84596e+06,2.84596e+06,0,0,9.59261e+11,2999.98,3000,2.8461e+06,-15.8569,
I1,16.08.1998 16:48:00,334.713,336.98,263.411,40.776,0,40.7749,184.483,60,2999.86,2999.86,0,0,1443.28,1443.28,0,0,0,0,0,0,64136.7,70162.4,70162.5,0,315.01,1e+06,853.185,0,0,0,0,2.87596e+06,2.87596e+06,0,0,9.69394e+11,2999.98,3000,2.8761e+06,-16.0041,
I1,26.08.1998 16:48:00,334.257,336.527,263.029,40.8155,0,40.8144,184.692,60,2999.86,2999.86,0,0,1444.78,1444.78,0,0,0,0,0,0,64871.7,70829.4,70829.5,0,299.183,1e+06,855.903,0,0,0,0,2.90596e+06,2.90596e+06,0,0,9.79527e+11,2999.98,3000,2.9061e+06,-16.1508,
I1,05.09.1998 16:48:00,333.346,335.618,262.355,40.9463,0,40.9452,184.258,60,2999.86,2999.86,0,0,1457.56,1457.56,0,0,0,0,0,0,65604.4,71335.7,71335.8,0,297.53,1e+06,847.785,0,0,0,0,2.93596e+06,2.93596e+06,0,0,9.89645e+11,2999.98,3000,2.9361e+06,-16.2971,
I1,15.09.1998 16:48:00,332.434,334.707,261.389,40.9156,0,40.9145,181.93,60,2999.86,2999.86,0,0,1441.62,1441.62,0,0,0,0,0,0,66337.5,72122.5,72122.7,0,296.946,1e+06,850.426,0,0,0,0,2.96596e+06,2.96596e+06,0,0,9.99743e+11,2999.98,3000,2.9661e+06,-16.4431,
I1,25.09.1998 16:48:00,331.511,333.787,260.474,40.9184,0,40.9174,182.73,60,2999.86,2999.86,0,0,1445.92,1445.92,0,0,0,0,0,0,67070.7,72850.6,72850.7,0,281.284,1e+06,853.28,0,0,0,0,2.99596e+06,2.99596e+06,0,0,1.00986e+12,2999.98,3000,2.9961e+06,-16.5887,
I1,05.10.1998 16:48:00,330.718,332.996,259.65,40.9,0,40.899,182.604,60,2999.86,2999.86,0,0,1443.88,1443.88,0,0,0,0,0,0,67804.1,73616.8,73616.9,0,279.205,1e+06,844.037,0,0,0,0,3.02596e+06,3.02596e+06,0,0,1.01997e+12,2999.98,3000,3.0261e+06,-16.7339,
I1,15.10.1998 16:48:00,329.916,332.195,258.849,40.9,0,40.899,182.403,60,2999.86,2999.86,0,0,1441.33,1441.33,0,0,0,0,0,0,68537.6,74350.3,74350.4,0,278.57,1e+06,845.985,0,0,0,0,3.05595e+06,3.05595e+06,0,0,1.0301e+12,2999.98,3000,3.0561e+06,-16.8787,
I1,25.10.1998 16:48:00,329.235,331.515,258.13,40.8782,0,40.8771,182.21,60,2999.86,2999.86,0,0,1438.86,1438.86,0,0,0,0,0,0,69271.4,75123.9,75124,0,261.954,1e+06,847.636,0,0,0,0,3.08595e+06,3.08595e+06,0,0,1.04023e+12,2999.98,3000,3.0861e+06,-17.0232,
I1,04.11.1998 16:48:00,328.695,330.976,257.656,40.9147,0,40.9136,183.856,60,2999.86,2999.86,0,0,1450.17,1450.17,0,0,0,0,0,0,70004.6,75790.1,75790.2,0,242.038,1e+06,838.906,0,0,0,0,3.11595e+06,3.11595e+06,0,0,1.05038e+12,2999.98,3000,3.1161e+06,-17.1673,
I1,14.11.1998 16:48:00,327.644,329.926,256.575,40.8972,0,40.8962,180.263,60,2999.86,2999.86,0,0,1425.87,1425.87,0,0,0,0,0,0,70738.2,76556,76556.1,0,260.539,1e+06,843.373,0,0,0,0,3.14595e+06,3.14595e+06,0,0,1.06048e+12,2999.98,3000,3.1461e+06,-17.311,
I1,24.11.1998 16:48:00,326.685,328.967,255.621,40.8999,0,40.8989,181.001,60,2999.85,2999.85,0,0,1430.02,1430.02,0,0,0,0,0,0,71471.6,77284.4,77284.5,0,244.41,1e+06,845.225,0,0,0,0,3.17595e+06,3.17595e+06,0,0,1.0706e+12,2999.98,3000,3.1761e+06,-17.4543,
I1,04.12.1998 16:48:00,325.92,328.203,254.847,40.8945,0,40.8934,181.296,60,2999.85,2999.85,0,0,1430.88,1430.88,0,0,0,0,0,0,72205.2,78028.2,78028.3,0,242.632,1e+06,836.738,0,0,0,0,3.20595e+06,3.20595e+06,0,0,1.08073e+12,2999.98,3000,3.2061e+06,-17.5972,
I1,14.12.1998 16:48:00,325.188,327.472,254.098,40.8842,0,40.8832,181.162,60,2999.85,2999.85,0,0,1428.87,1428.87,0,0,0,0,0,0,72938.9,78781.5,78781.7,0,241.658,1e+06,838.845,0,0,0,0,3.23594e+06,3.23594e+06,0,0,1.09087e+12,2999.98,3000,3.2361e+06,-17.7398,
I1,24.12.1998 16:48:00,324.48,326.764,253.363,40.8691,0,40.8681,180.981,60,2999.85,2999.85,0,0,1426.4,1426.4,0,0,0,0,0,0,73672.9,79544.6,79544.8,0,225.853,1e+06,840.404,0,0,0,0,3.26594e+06,3.26594e+06,0,0,1.10101e+12,2999.98,3000,3.2661e+06,-17.882,
I1,03.01.1999 16:48:00,323.821,326.106,252.688,40.8599,0,40.8589,180.841,60,2999.85,2999.85,0,0,1424.49,1424.49,0,0,0,0,0,0,74407.1,80296.7,80296.9,0,220.926,1e+06,832.583,0,0,0,0,3.29594e+06,3.29594e+06,0,0,1.11116e+12,2999.98,3000,3.2961e+06,-18.0239,
I1,13.01.1999 16:48:00,323.14,325.426,251.976,40.8426,0,40.8416,180.693,60,2999.85,2999.85,0,0,1422.46,1422.46,0,0,0,0,0,0,75141.6,81065.2,81065.4,0,209.344,1e+06,834.655,0,0,0,0,3.32594e+06,3.32594e+06,0,0,1.12131e+12,2999.98,3000,3.3261e+06,-18.1653,
I1,23.01.1999 16:48:00,322.544,324.83,251.371,40.8369,0,40.8359,180.527,60,2999.85,2999.85,0,0,1420.18,1420.18,0,0,0,0,0,0,75876.2,81811.2,81811.4,0,204.837,1e+06,836.506,0,0,0,0,3.35594e+06,3.35594e+06,0,0,1.13146e+12,2999.98,3000,3.3561e+06,-18.3064,
I1,02.02.1999 16:48:00,321.793,324.079,250.606,40.8289,0,40.8278,180.384,60,2999.85,2999.85,0,0,1418.19,1418.19,0,0,0,0,0,0,76610.9,82562,82562.2,0,206.798,1e+06,839.142,0,0,0,0,3.38594e+06,3.38594e+06,0,0,1.14162e+12,2999.98,3000,3.3861e+06,-18.4472,
I1,12.02.1999 16:48:00,321.288,323.575,250.057,40.8044,0,40.8034,180.204,60,2999.85,2999.85,0,0,1415.67,1415.67,0,0,0,0,0,0,77346.1,83346.7,83346.9,0,185.622,1e+06,830.562,0,0,0,0,3.41594e+06,3.41594e+06,0,0,1.15179e+12,2999.98,3000,3.4161e+06,-18.5875,
I1,22.02.1999 16:48:00,320.883,323.171,249.652,40.804,0,40.803,180.084,60,2999.85,2999.85,0,0,1414,1414,0,0,0,0,0,0,78081.3,84082.6,84082.9,0,171.227,1e+06,833.264,0,0,0,0,3.44593e+06,3.44593e+06,0,0,1.16196e+12,2999.98,3000,3.4461e+06,-18.7275,
I1,04.03.1999 16:48:00,320.522,322.81,249.291,40.8036,0,40.8026,179.995,60,2999.85,2999.85,0,0,1412.74,1412.74,0,0,0,0,0,0,78816.5,84818.7,84818.9,0,188.669,1e+06,835.685,0,0,0,0,3.47593e+06,3.47593e+06,0,0,1.17214e+12,2999.98,3000,3.4761e+06,-18.8672,
I1,14.03.1999 16:48:00,319.972,322.26,248.652,40.7544,0,40.7534,178.282,60,2999.85,2999.85,0,0,1398.2,1398.2,0,0,0,0,0,0,79552.6,85657.1,85657.3,0,173.302,1e+06,827.21,0,0,0,0,3.50593e+06,3.50593e+06,0,0,1.1823e+12,2999.98,3000,3.5061e+06,-19.0064,
I1,24.03.1999 16:48:00,319.713,322.002,248.347,40.7283,0,40.7273,178.946,60,2999.85,2999.85,0,0,1400.63,1400.63,0,0,0,0,0,0,80289.1,86448.7,86448.9,0,171.35,1e+06,830.232,0,0,0,0,3.53593e+06,3.53593e+06,0,0,1.19248e+12,2999.98,3000,3.5361e+06,-19.1453,
I1,03.04.1999 16:48:00,319.048,321.337,247.811,40.7997,0,40.7987,178.814,60,2999.85,2999.85,0,0,1404.43,1404.43,0,0,0,0,0,0,81024.4,87032.6,87032.9,0,171.247,1e+06,833.698,0,0,0,0,3.56593e+06,3.56593e+06,0,0,1.20265e+12,2999.98,3000,3.5661e+06,-19.2839,
I1,13.04.1999 16:48:00,318.574,320.864,247.323,40.7913,0,40.7903,179.103,60,2999.85,2999.85,0,0,1405.68,1405.68,0,0,0,0,0,0,81759.8,87785.9,87786.2,0,137.931,1e+06,824.3,0,0,0,0,3.59593e+06,3.59593e+06,0,0,1.21283e+12,2999.98,3000,3.5961e+06,-19.4221,
I1,23.04.1999 16:48:00,318.027,320.317,246.819,40.8152,0,40.8142,179.051,60,2999.85,2999.85,0,0,1405.15,1405.15,0,0,0,0,0,0,82494.8,88469.5,88469.8,0,136.099,1e+06,824.693,0,0,0,0,3.62592e+06,3.62592e+06,0,0,1.22301e+12,2999.98,3000,3.6261e+06,-19.5599,
I1,03.05.1999 16:48:00,317.628,319.919,246.378,40.7916,0,40.7906,178.935,60,2999.85,2999.85,0,0,1403.51,1403.51,0,0,0,0,0,0,83230.2,89256.1,89256.4,0,153.084,1e+06,831.442,0,0,0,0,3.65592e+06,3.65592e+06,0,0,1.23319e+12,2999.98,3000,3.6561e+06,-19.6974,
I1,13.05.1999 16:48:00,317.171,319.464,245.922,40.7912,0,40.7902,178.848,60,2999.85,2999.85,0,0,1402.24,1402.24,0,0,0,0,0,0,83965.6,89992.4,89992.6,0,120.805,1e+06,822.229,0,0,0,0,3.68592e+06,3.68592e+06,0,0,1.24338e+12,2999.98,3000,3.6861e+06,-19.8345,
I1,23.05.1999 16:48:00,317.228,319.52,245.951,40.7762,0,40.7752,178.75,60,2999.85,2999.85,0,0,1400.82,1400.82,0,0,0,0,0,0,84701.3,90761.3,90761.6,0,136.755,1e+06,822.268,0,0,0,0,3.71592e+06,3.71592e+06,0,0,1.25357e+12,2999.98,3000,3.7161e+06,-19.9712,
I1,02.06.1999 16:48:00,316.712,319.004,245.465,40.7926,0,40.7916,178.776,60,2999.85,2999.85,0,0,1401.2,1401.2,0,0,0,0,0,0,85436.7,91460,91460.3,0,122.257,1e+06,829.477,0,0,0,0,3.74592e+06,3.74592e+06,0,0,1.26376e+12,2999.98,3000,3.7461e+06,-20.1076,
I1,12.06.1999 16:48:00,316.148,318.441,244.876,40.7783,0,40.7773,178.673,60,2999.85,2999.85,0,0,1399.71,1399.71,0,0,0,0,0,0,86172.3,92227.8,92228.1,0,120.721,1e+06,820.424,0,0,0,0,3.77592e+06,3.77592e+06,0,0,1.27395e+12,2999.98,3000,3.7761e+06,-20.2437,
I1,22.06.1999 16:48:00,315.781,318.075,244.505,40.7754,0,40.7744,178.55,60,2999.85,2999.85,0,0,1397.92,1397.92,0,0,0,0,0,0,86908,92970.1,92970.4,0,118.091,1e+06,821.887,0,0,0,0,3.80592e+06,3.80592e+06,0,0,1.28415e+12,2999.98,3000,3.8061e+06,-20.3793,
I1,02.07.1999 16:48:00,315.418,317.711,244.131,40.7696,0,40.7686,178.473,60,2999.85,2999.85,0,0,1396.8,1396.8,0,0,0,0,0,0,87643.8,93719.1,93719.4,0,95.7631,1e+06,815.561,0,0,0,0,3.83591e+06,3.83591e+06,0,0,1.29434e+12,2999.98,3000,3.8361e+06,-20.5147,
I1,12.07.1999 16:48:00,315.018,317.313,243.744,40.7762,0,40.7752,178.4,60,2999.85,2999.85,0,0,1395.74,1395.74,0,0,0,0,0,0,88379.5,94439.5,94439.8,0,87.0927,1e+06,818.4,0,0,0,0,3.86591e+06,3.86591e+06,0,0,1.30455e+12,2999.98,3000,3.8661e+06,-20.6496,
I1,22.07.1999 16:48:00,314.709,317.004,243.406,40.7597,0,40.7587,178.319,60,2999.85,2999.85,0,0,1394.56,1394.56,0,0,0,0,0,0,89115.5,95213.8,95214.1,0,96.8907,1e+06,820.65,0,0,0,0,3.89591e+06,3.89591e+06,0,0,1.31475e+12,2999.98,3000,3.8961e+06,-20.7843,
I1,01.08.1999 16:48:00,314.323,316.619,243.026,40.7627,0,40.7617,178.259,60,2999.85,2999.85,0,0,1393.69,1393.69,0,0,0,0,0,0,89851.4,95942.8,95943.1,0,72.8234,1e+06,814.407,0,0,0,0,3.92591e+06,3.92591e+06,0,0,1.32496e+12,2999.98,3000,3.9261e+06,-20.9185,
I1,11.08.1999 16:48:00,313.981,316.277,242.666,40.7527,0,40.7517,178.183,60,2999.85,2999.85,0,0,1392.57,1392.57,0,0,0,0,0,0,90587.6,96702.4,96702.7,0,71.4587,1e+06,816.794,0,0,0,0,3.95591e+06,3.95591e+06,0,0,1.33517e+12,2999.98,3000,3.9561e+06,-21.0525,
I1,21.08.1999 16:48:00,313.641,315.937,242.319,40.7485,0,40.7475,178.116,60,2999.85,2999.85,0,0,1391.59,1391.59,0,0,0,0,0,0,91323.7,97448.6,97448.9,0,61.3878,1e+06,820.422,0,0,0,0,3.98591e+06,3.98591e+06,0,0,1.34538e+12,2999.98,3000,3.9861e+06,-21.186,
I1,31.08.1999 16:48:00,313.278,315.575,241.966,40.7542,0,40.7532,178.05,60,2999.85,2999.85,0,0,1390.62,1390.62,0,0,0,0,0,0,92059.8,98171,98171.4,0,58.0777,1e+06,812.337,0,0,0,0,4.0159e+06,4.0159e+06,0,0,1.3556e+12,2999.98,3000,4.0161e+06,-21.3193,
I1,10.09.1999 16:48:00,313.293,315.59,241.945,40.7337,0,40.7327,177.979,60,2999.85,2999.85,0,0,1389.58,1389.58,0,0,0,0,0,0,92796.3,98956.9,98957.2,0,70.7657,1e+06,813.203,0,0,0,0,4.0459e+06,4.0459e+06,0,0,1.36582e+12,2999.98,3000,4.0461e+06,-21.4522,
I1,20.09.1999 16:48:00,313.249,315.547,241.96,40.7658,0,40.7648,177.996,60,2999.85,2999.85,0,0,1389.84,1389.84,0,0,0,0,0,0,93532.2,99614.9,99615.2,0,45.5824,1e+06,821.094,0,0,0,0,4.0759e+06,4.0759e+06,0,0,1.37604e+12,2999.98,3000,4.0761e+06,-21.5847,
I1,30.09.1999 16:48:00,312.831,315.129,241.542,40.7659,0,40.7649,178.006,60,2999.85,2999.85,0,0,1389.98,1389.98,0,0,0,0,0,0,94268,100350,100351,0,43.7149,1e+06,812.79,0,0,0,0,4.1059e+06,4.1059e+06,0,0,1.38625e+12,2999.98,3000,4.1061e+06,-21.7169,
I1,10.10.1999 16:48:00,312.817,315.116,241.538,40.7711,0,40.7701,177.928,60,2999.85,2999.85,0,0,1388.83,1388.83,0,0,0,0,0,0,95003.8,101074,101074,0,36.3435,1e+06,815.213,0,0,0,0,4.1359e+06,4.1359e+06,0,0,1.39647e+12,2999.98,3000,4.1361e+06,-21.8487,
I1,20.10.1999 16:48:00,312.8,315.1,241.535,40.7783,0,40.7773,177.937,60,2999.85,2999.85,0,0,1388.97,1388.97,0,0,0,0,0,0,95739.5,101791,101792,0,31.9761,1e+06,810.249,0,0,0,0,4.1659e+06,4.1659e+06,0,0,1.40669e+12,2999.98,3000,4.1661e+06,-21.9802,
I1,30.10.1999 16:48:00,312.344,314.644,241.088,40.7833,0,40.7823,177.953,60,2999.85,2999.85,0,0,1389.2,1389.2,0,0,0,0,0,0,96475,102514,102515,0,31.3597,1e+06,813.69,0,0,0,0,4.19589e+06,4.19589e+06,0,0,1.41691e+12,2999.98,3000,4.1961e+06,-22.1114,
I1,09.11.1999 16:48:00,312.334,314.634,241.074,40.7813,0,40.7803,177.866,60,2999.85,2999.85,0,0,1387.91,1387.91,0,0,0,0,0,0,97210.6,103255,103255,0,21.9075,1e+06,816.775,0,0,0,0,4.22589e+06,4.22589e+06,0,0,1.42713e+12,2999.98,3000,4.2261e+06,-22.2422,
I1,19.11.1999 16:48:00,311.837,314.138,240.581,40.7826,0,40.7817,177.875,60,2999.85,2999.85,0,0,1388.06,1388.06,0,0,0,0,0,0,97946.2,103987,103987,0,20.9247,1e+06,811.73,0,0,0,0,4.25589e+06,4.25589e+06,0,0,1.43736e+12,2999.98,3000,4.2561e+06,-22.3727,
I1,29.11.1999 16:48:00,311.762,314.063,240.517,40.789,0,40.788,177.778,60,2999.85,2999.85,0,0,1386.62,1386.62,0,0,0,0,0,0,98681.6,104706,104707,0,14.6096,1e+06,815.817,0,0,0,0,4.28589e+06,4.28589e+06,0,0,1.44758e+12,2999.98,3000,4.2861e+06,-22.5028,
I1,09.12.1999 16:48:00,311.662,313.964,240.431,40.7961,0,40.7952,177.763,60,2999.85,2999.85,0,0,1386.41,1386.41,0,0,0,0,0,0,99417,105423,105424,0,12.6424,1e+06,819.539,0,0,0,0,4.31589e+06,4.31589e+06,0,0,1.45781e+12,2999.98,3000,4.3161e+06,-22.6326,
I1,19.12.1999 16:48:00,311.501,313.804,240.258,40.7889,0,40.7879,177.757,60,2999.85,2999.85,0,0,1386.31,1386.31,0,0,0,0,0,0,100152,106178,106178,0,7.74416,1e+06,812.173,0,0,0,0,4.34589e+06,4.34589e+06,0,0,1.46803e+12,2999.98,3000,4.3461e+06,-22.7621,
I1,29.12.1999 16:48:00,311.263,313.566,240.034,40.7967,0,40.7957,177.738,60,2999.85,2999.85,0,0,1386.02,1386.02,0,0,0,0,0,0,100888,106893,106893,0,6.60504,1e+06,814.942,0,0,0,0,4.37589e+06,4.37589e+06,0,0,1.47826e+12,2999.98,3000,4.3761e+06,-22.8912,
I1,08.01.2000 16:48:00,311.192,313.495,239.972,40.8017,0,40.8007,177.699,60,2999.85,2999.85,0,0,1385.46,1385.46,0,0,0,0,0,0,101623,107615,107615,0,6.39406,1e+06,812.248,0,0,0,0,4.40588e+06,4.40588e+06,0,0,1.48849e+12,2999.98,3000,4.4061e+06,-23.02,
I1,18.01.2000 16:48:00,311.043,313.346,239.837,40.8093,0,40.8083,177.695,60,2999.85,2999.85,0,0,1385.4,1385.4,0,0,0,0,0,0,102358,108330,108330,0,2.70656,1e+06,816.118,0,0,0,0,4.43588e+06,4.43588e+06,0,0,1.49872e+12,2999.98,3000,4.4361e+06,-23.1484,
I1,28.01.2000 16:48:00,310.489,312.793,239.275,40.8044,0,40.8034,177.678,60,2999.85,2999.85,0,0,1385.15,1385.15,0,0,0,0,0,0,103093,109078,109078,0,1,1e+06,818.039,0,0,0,0,4.46588e+06,4.46588e+06,0,0,1.50895e+12,2999.98,3000,4.4661e+06,-23.2765,
I1,07.02.2000 16:48:00,310.413,312.718,239.206,40.8079,0,40.8069,177.568,60,2999.85,2999.85,0,0,1383.51,1383.51,0,0,0,0,0,0,103828,109804,109804,0,1,1e+06,815.704,0,0,0,0,4.49588e+06,4.49588e+06,0,0,1.51918e+12,2999.98,3000,4.4961e+06,-23.4043,
I1,17.02.2000 16:48:00,310.327,312.632,239.137,40.8174,0,40.8164,177.559,60,2999.85,2999.85,0,0,1383.38,1383.38,0,0,0,0,0,0,104563,110513,110513,0,1,1e+06,806.571,0,0,0,0,4.52588e+06,4.52588e+06,0,0,1.52942e+12,2999.98,3000,4.5261e+06,-23.5317,
I1,27.02.2000 16:48:00,310.091,312.396,238.892,40.8122,0,40.8112,177.555,60,2999.85,2999.85,0,0,1383.32,1383.32,0,0,0,0,0,0,105298,111262,111263,0,1,1e+06,799.421,0,0,0,0,4.55588e+06,4.55588e+06,0,0,1.53965e+12,2999.98,3000,4.5561e+06,-23.6589,
I1,08.03.2000 16:48:00,310.011,312.316,238.826,40.8196,0,40.8187,177.518,60,2999.85,2999.85,0,0,1382.77,1382.77,0,0,0,0,0,0,106033,111977,111977,0,1,1e+06,800.273,0,0,0,0,4.58587e+06,4.58587e+06,0,0,1.54989e+12,2999.98,3000,4.5861e+06,-23.7856,
I1,18.03.2000 16:48:00,309.102,311.408,237.928,40.8254,0,40.8244,177.516,60,2999.85,2999.85,0,0,1382.75,1382.75,0,0,0,0,0,0,106768,112696,112696,0,1,1e+06,774.381,0,0,0,0,4.61587e+06,4.61587e+06,0,0,1.56012e+12,2999.98,3000,4.6161e+06,-23.9121,
I1,28.03.2000 16:48:00,309.134,311.44,237.899,40.7914,0,40.7904,177.328,60,2999.85,2999.85,0,0,1379.93,1379.93,0,0,0,0,0,0,107503,113525,113526,0,1,1e+06,762.626,0,0,0,0,4.64587e+06,4.64587e+06,0,0,1.57037e+12,2999.98,3000,4.6461e+06,-24.0382,
I1,07.04.2000 16:48:00,309.065,311.372,237.838,40.7953,0,40.7944,177.338,60,2999.85,2999.85,0,0,1380.09,1380.09,0,0,0,0,0,0,108239,114250,114250,0,1,1e+06,752.286,0,0,0,0,4.67587e+06,4.67587e+06,0,0,1.58061e+12,2999.98,3000,4.6761e+06,-24.164,
I1,17.04.2000 16:48:00,308.563,310.87,237.353,40.805,0,40.804,177.34,60,2999.85,2999.85,0,0,1380.12,1380.12,0,0,0,0,0,0,108974,114958,114958,0,1,1e+06,750.901,0,0,0,0,4.70587e+06,4.70587e+06,0,0,1.59085e+12,2999.98,3000,4.7061e+06,-24.2895,
